x1,x2,x3
3636883.26,214609.76,-14.48
3636883.11,214610.15,-14.46
3636882.94,214610.65,-14.43
3636882.77,214611.14,-14.43
3636882.55,214611.7,-14.44
3636882.4,214612.09,-14.47
3636882.21,214612.57,-14.46
3636882.03,214613.04,-14.42
3636881.82,214613.6,-14.43
3636881.67,214613.99,-14.44
3636881.49,214614.46,-14.43
3636881.31,214614.93,-14.39
3636881.08,214615.5,-14.37
3636880.94,214615.87,-14.37
3636880.76,214616.35,-14.41
3636880.59,214616.82,-14.44
3636880.38,214617.38,-14.38
3636880.24,214617.76,-14.38
3636880.07,214618.21,-14.37
3636879.91,214618.69,-14.32
3636879.73,214619.23,-14.33
3636879.6,214619.6,-14.33
3636879.43,214620.06,-14.35
3636879.26,214620.5,-14.39
3636879.06,214621.03,-14.38
3636878.91,214621.4,-14.36
3636878.73,214621.83,-14.37
3636878.55,214622.25,-14.4
3636878.33,214622.76,-14.45
3636878.17,214623.12,-14.47
3636877.98,214623.54,-14.46
3636877.78,214623.96,-14.44
3636877.55,214624.45,-14.4
3636877.39,214624.8,-14.37
3636877.19,214625.21,-14.36
3636876.97,214625.63,-14.35
3636876.72,214626.12,-14.34
3636876.55,214626.45,-14.35
3636876.34,214626.87,-14.35
3636876.13,214627.28,-14.36
3636875.87,214627.78,-14.37
3636875.71,214628.13,-14.42
3636875.5,214628.55,-14.42
3636875.27,214628.96,-14.38
3636875.02,214629.44,-14.35
3636874.86,214629.77,-14.32
3636874.68,214630.2,-14.32
3636874.48,214630.62,-14.32
3636874.24,214631.1,-14.32
3636874.08,214631.45,-14.32
3636873.88,214631.88,-14.31
3636873.68,214632.31,-14.3
3636873.47,214632.8,-14.29
3636873.31,214633.13,-14.28
3636873.11,214633.55,-14.26
3636872.92,214633.95,-14.22
3636872.69,214634.44,-14.22
3636872.54,214634.78,-14.23
3636872.34,214635.18,-14.19
3636872.14,214635.58,-14.15
3636871.89,214636.06,-14.15
3636871.73,214636.37,-14.19
3636871.53,214636.76,-14.23
3636871.31,214637.16,-14.25
3636871.05,214637.6,-14.25
3636870.85,214637.92,-14.28
3636870.63,214638.3,-14.29
3636870.4,214638.67,-14.25
3636870.12,214639.11,-14.24
3636869.91,214639.4,-14.25
3636869.67,214639.76,-14.25
3636869.44,214640.12,-14.24
3636869.14,214640.55,-14.26
3636868.94,214640.85,-14.26
3636868.7,214641.21,-14.24
3636868.45,214641.58,-14.27
3636868.17,214642.01,-14.28
3636867.98,214642.31,-14.25
3636867.74,214642.68,-14.23
3636867.51,214643.06,-14.25
3636867.22,214643.51,-14.25
3636867.04,214643.83,-14.23
3636866.83,214644.23,-14.21
3636866.6,214644.63,-14.17
3636866.35,214645.1,-14.16
3636866.19,214645.43,-14.17
3636865.98,214645.85,-14.18
3636865.77,214646.26,-14.19
3636865.53,214646.76,-14.17
3636865.37,214647.09,-14.12
3636865.16,214647.5,-14.11
3636864.96,214647.91,-14.14
3636864.71,214648.4,-14.17
3636864.54,214648.73,-14.15
3636864.33,214649.14,-14.09
3636864.12,214649.55,-14.1
3636863.86,214650.02,-14.1
3636863.66,214650.34,-14.05
3636863.43,214650.74,-14.04
3636863.2,214651.12,-14.05
3636862.92,214651.58,-14.05
3636862.72,214651.88,-14.06
3636862.47,214652.26,-14.06
3636862.22,214652.62,-14.09
3636861.91,214653.06,-14.08
3636861.68,214653.35,-14.07
3636861.42,214653.71,-14.11
3636861.15,214654.06,-14.12
3636860.83,214654.46,-14.12
3636860.59,214654.74,-14.13
3636860.32,214655.08,-14.13
3636860.05,214655.42,-14.15
3636859.72,214655.81,-14.15
3636859.48,214656.09,-14.16
3636859.2,214656.42,-14.13
3636858.92,214656.75,-14.1
3636858.59,214657.16,-14.12
3636858.37,214657.44,-14.13
3636858.1,214657.78,-14.08
3636857.83,214658.11,-14.06
3636857.51,214658.53,-14.06
3636857.3,214658.82,-14.07
3636857.05,214659.18,-14.09
3636856.8,214659.53,-14.07
3636856.51,214659.93,-14.08
3636856.31,214660.23,-14.1
3636856.08,214660.59,-14.07
3636855.85,214660.94,-14.05
3636855.59,214661.39,-14.07
3636855.41,214661.69,-14.06
3636855.17,214662.04,-14.03
3636854.95,214662.4,-14.03
3636854.69,214662.83,-14.04
3636854.5,214663.14,-14.05
3636854.27,214663.5,-14.04
3636854.03,214663.86,-13.99
3636853.74,214664.28,-13.99
3636853.55,214664.56,-14.01
3636853.31,214664.9,-14.03
3636853.06,214665.24,-14.03
3636852.76,214665.64,-14.02
3636852.54,214665.93,-14.04
3636852.29,214666.28,-14.06
3636852.02,214666.63,-14.05
3636851.69,214667.04,-14.05
3636851.48,214667.31,-14.08
3636851.22,214667.63,-14.06
3636850.94,214667.98,-14.03
3636850.62,214668.39,-14.03
3636850.4,214668.68,-14.04
3636850.14,214669.03,-14
3636849.87,214669.38,-13.98
3636849.71,214669.58,-13.98
3636849.46,214669.94,-13.99
3636849.31,214670.14,-13.98
3636849.16,214670.37,-14
3636848.89,214670.73,-14.04
3636848.62,214671.11,-14.07
3636848.31,214671.57,-14.04
3636848.1,214671.89,-13.99
3636847.85,214672.28,-13.99
3636847.6,214672.69,-13.99
3636847.3,214673.18,-13.96
3636847.12,214673.52,-13.93
3636846.9,214673.95,-13.96
3636846.67,214674.36,-13.99
3636846.42,214674.87,-13.94
3636846.25,214675.22,-13.9
3636846.03,214675.64,-13.89
3636845.82,214676.08,-13.91
3636845.58,214676.59,-13.92
3636845.42,214676.94,-13.95
3636845.22,214677.37,-13.97
3636845.01,214677.81,-13.94
3636844.77,214678.34,-13.92
3636844.6,214678.7,-13.92
3636844.37,214679.16,-13.88
3636844.15,214679.58,-13.9
3636843.88,214680.1,-13.92
3636843.71,214680.44,-13.94
3636843.49,214680.86,-13.95
3636843.26,214681.27,-13.95
3636842.99,214681.76,-13.94
3636842.79,214682.11,-13.93
3636842.55,214682.52,-13.94
3636842.31,214682.94,-13.96
3636842.03,214683.44,-13.95
3636841.84,214683.79,-13.96
3636841.59,214684.22,-13.99
3636841.33,214684.65,-13.96
3636841.02,214685.15,-13.93
3636840.82,214685.51,-13.91
3636840.57,214685.93,-13.89
3636840.33,214686.35,-13.88
3636840.06,214686.86,-13.87
3636839.87,214687.22,-13.87
3636839.65,214687.66,-13.86
3636839.44,214688.1,-13.85
3636839.19,214688.62,-13.85
3636839.02,214688.98,-13.85
3636838.82,214689.45,-13.86
3636838.63,214689.92,-13.84
3636838.41,214690.46,-13.8
3636838.26,214690.86,-13.75
3636838.09,214691.34,-13.71
3636837.91,214691.82,-13.74
3636837.72,214692.41,-13.76
3636837.58,214692.84,-13.73
3636837.42,214693.33,-13.71
3636837.26,214693.82,-13.71
3636837.07,214694.39,-13.71
3636836.93,214694.78,-13.69
3636836.77,214695.27,-13.67
3636836.61,214695.77,-13.68
3636836.4,214696.35,-13.69
3636836.26,214696.74,-13.7
3636836.08,214697.23,-13.67
3636835.91,214697.7,-13.64
3636835.71,214698.25,-13.64
3636835.57,214698.62,-13.65
3636835.39,214699.09,-13.66
3636835.21,214699.54,-13.7
3636834.99,214700.09,-13.78
3636834.85,214700.44,-13.79
3636834.67,214700.88,-13.74
3636834.51,214701.3,-13.76
3636834.3,214701.79,-13.79
3636834.14,214702.14,-13.76
3636833.96,214702.55,-13.74
3636833.77,214702.97,-13.73
3636833.55,214703.44,-13.75
3636833.4,214703.77,-13.75
3636833.21,214704.17,-13.71
3636833.03,214704.57,-13.71
3636832.81,214705.04,-13.71
3636832.66,214705.38,-13.75
3636832.49,214705.76,-13.77
3636832.3,214706.15,-13.7
3636832.08,214706.61,-13.69
3636831.93,214706.93,-13.73
3636831.75,214707.32,-13.73
3636831.58,214707.71,-13.68
3636831.39,214708.18,-13.68
3636831.25,214708.51,-13.69
3636831.08,214708.89,-13.69
3636830.92,214709.3,-13.71
3636830.74,214709.78,-13.7
3636830.62,214710.1,-13.65
3636830.47,214710.5,-13.63
3636830.32,214710.91,-13.61
3636830.16,214711.4,-13.58
3636830.04,214711.73,-13.58
3636829.89,214712.14,-13.57
3636829.75,214712.55,-13.59
3636829.58,214713.03,-13.62
3636829.45,214713.37,-13.62
3636829.31,214713.79,-13.6
3636829.16,214714.19,-13.64
3636828.97,214714.7,-13.67
